ID,TIPO_PRENDA,TALLA,COLOR,CANTIDAD_DISPONIBLE,PRECIO_50_U,PRECIO_100_U,PRECIO_200_U,DISPONIBLE,CATEGORÍA,DESCRIPCIÓN
1,Pantalón,XXL,Verde,177,1058,1182,462,Sí,Deportivo,Ideal para uso diario.
2,Camiseta,XXL,Blanco,33,510,975,739,Sí,Deportivo,Prenda cómoda y ligera.
3,Camiseta,S,Negro,457,1292,457,873,Sí,Casual,Diseño moderno y elegante.
4,Falda,S,Blanco,414,1138,986,386,Sí,Casual,Ideal para uso diario.
5,Sudadera,XL,Verde,151,603,799,367,Sí,Formal,Diseño moderno y elegante.
6,Chaqueta,S,Amarillo,223,961,636,1014,Sí,Deportivo,Prenda cómoda y ligera.
7,Pantalón,L,Gris,436,1331,1222,516,Sí,Deportivo,Diseño moderno y elegante.
8,Falda,XXL,Blanco,441,1286,1306,613,Sí,Casual,Prenda cómoda y ligera.
9,Sudadera,L,Azul,187,889,991,608,Sí,Casual,Material de alta calidad.
10,Pantalón,XXL,Gris,462,647,1149,542,Sí,Formal,Diseño moderno y elegante.
11,Chaqueta,S,Azul,65,464,1109,555,Sí,Deportivo,Material de alta calidad.
12,Pantalón,M,Blanco,65,786,941,640,Sí,Formal,Material de alta calidad.
13,Falda,XL,Azul,454,762,1123,898,Sí,Deportivo,Material de alta calidad.
14,Chaqueta,L,Gris,193,430,903,940,Sí,Casual,Diseño moderno y elegante.
15,Falda,L,Azul,246,952,530,1107,Sí,Deportivo,Prenda cómoda y ligera.
16,Falda,XL,Blanco,301,883,693,615,No,Formal,Prenda cómoda y ligera.
17,Camiseta,S,Azul,348,1128,1351,737,Sí,Deportivo,Material de alta calidad.
18,Falda,L,Gris,39,1224,1394,763,No,Deportivo,Prenda cómoda y ligera.
19,Chaqueta,L,Azul,86,416,939,382,No,Formal,Prenda cómoda y ligera.
20,Camiseta,XXL,Rojo,302,1292,962,816,Sí,Deportivo,Diseño moderno y elegante.
21,Pantalón,L,Verde,334,1017,639,1238,Sí,Formal,Material de alta calidad.
22,Sudadera,XL,Azul,350,1288,1339,547,No,Deportivo,Diseño moderno y elegante.
23,Pantalón,S,Verde,257,525,544,1205,Sí,Casual,Prenda cómoda y ligera.
24,Camiseta,M,Negro,34,1386,643,1131,No,Formal,Diseño moderno y elegante.
25,Sudadera,S,Negro,166,596,1276,791,Sí,Deportivo,Perfecta para actividades al aire libre.
26,Camiseta,S,Verde,214,503,385,858,No,Casual,Material de alta calidad.
27,Sudadera,S,Verde,64,967,724,768,Sí,Casual,Ideal para uso diario.
28,Falda,XL,Negro,196,464,1368,711,Sí,Deportivo,Perfecta para actividades al aire libre.
29,Chaqueta,XL,Amarillo,282,1465,1069,464,Sí,Casual,Diseño moderno y elegante.
30,Camisa,M,Verde,206,1100,842,572,Sí,Casual,Ideal para uso diario.
31,Falda,XXL,Blanco,322,1006,1017,1065,No,Casual,Prenda cómoda y ligera.
32,Camiseta,S,Rojo,298,1010,743,431,Sí,Deportivo,Perfecta para actividades al aire libre.
33,Falda,M,Azul,482,1120,765,400,Sí,Deportivo,Diseño moderno y elegante.
34,Camisa,L,Blanco,40,548,761,685,No,Formal,Ideal para uso diario.
35,Camisa,XXL,Verde,264,783,771,1035,Sí,Deportivo,Diseño moderno y elegante.
36,Sudadera,XXL,Amarillo,194,1261,479,310,Sí,Deportivo,Material de alta calidad.
37,Sudadera,S,Negro,208,925,938,1270,Sí,Formal,Ideal para uso diario.
38,Pantalón,XXL,Rojo,19,1379,539,913,Sí,Formal,Material de alta calidad.
39,Pantalón,M,Verde,340,1338,449,406,Sí,Casual,Diseño moderno y elegante.
40,Pantalón,M,Negro,199,1295,713,680,No,Casual,Prenda cómoda y ligera.
41,Chaqueta,M,Rojo,142,777,1083,702,Sí,Deportivo,Material de alta calidad.
42,Chaqueta,S,Amarillo,333,1089,438,567,Sí,Casual,Diseño moderno y elegante.
43,Sudadera,XXL,Rojo,304,1271,559,1221,Sí,Formal,Perfecta para actividades al aire libre.
44,Camiseta,S,Azul,443,424,1046,382,Sí,Deportivo,Diseño moderno y elegante.
45,Sudadera,XL,Rojo,376,840,1152,1270,Sí,Deportivo,Material de alta calidad.
46,Camisa,S,Rojo,121,1090,818,986,Sí,Formal,Perfecta para actividades al aire libre.
47,Chaqueta,XL,Blanco,279,608,748,644,No,Formal,Ideal para uso diario.
48,Camiseta,XXL,Amarillo,480,548,880,1278,Sí,Formal,Ideal para uso diario.
49,Sudadera,XL,Blanco,262,1167,714,792,No,Deportivo,Ideal para uso diario.
50,Sudadera,XL,Blanco,248,717,590,865,Sí,Deportivo,Ideal para uso diario.
51,Falda,M,Blanco,323,1071,583,831,Sí,Casual,Diseño moderno y elegante.
52,Camisa,XXL,Gris,411,963,673,689,No,Casual,Material de alta calidad.
53,Pantalón,XL,Azul,405,815,1187,703,Sí,Deportivo,Diseño moderno y elegante.
54,Falda,L,Azul,41,805,740,986,No,Deportivo,Prenda cómoda y ligera.
55,Camisa,L,Blanco,111,551,1055,921,Sí,Casual,Diseño moderno y elegante.
56,Chaqueta,XL,Negro,73,876,1056,770,No,Formal,Perfecta para actividades al aire libre.
